		
Time	Eng. Strain	Eng. Stress
(secs)		(Mpa)
0.0000000	0.0000000	0.0000000
0.1906000	0.0019060	0.0196090
0.4479000	0.0044790	0.0355200
0.8081000	0.0080810	0.0498840
1.0703000	0.0107030	0.0622810
1.3152000	0.0131520	0.0744310
1.6597000	0.0165970	0.0855470
1.9068000	0.0190680	0.0958990
2.1462000	0.0214620	0.1060620
2.4438000	0.0244380	0.1158690
2.5564000	0.0255640	0.1251740
2.8628000	0.0286280	0.1340890
3.1631000	0.0316310	0.1429010
3.4135000	0.0341350	0.1515410
3.6619000	0.0366190	0.1596890
3.9158000	0.0391580	0.1675700
4.2114000	0.0421140	0.1754850
4.4992000	0.0449920	0.1832300
4.9082000	0.0490820	0.1906940
5.0817000	0.0508170	0.1979970
5.4708000	0.0547080	0.2052340
5.7244000	0.0572440	0.2123330
5.9252000	0.0592520	0.2190480
6.2136000	0.0621360	0.2260670
6.4111000	0.0641110	0.2316920
6.7068000	0.0670680	0.2388710
6.9123000	0.0691230	0.2452310
7.1155000	0.0711550	0.2512440
7.4691000	0.0746910	0.2574710
7.7166000	0.0771660	0.2637500
7.9687000	0.0796870	0.2699580
8.3197000	0.0831970	0.2760180
8.6232000	0.0862320	0.2818510
8.9593000	0.0895930	0.2870250
9.1161000	0.0911610	0.2930620
9.3266000	0.0932660	0.2986910
9.5811000	0.0958110	0.3045010
9.8887000	0.0988870	0.3092380
10.1753000	0.1017530	0.3149910
10.4590000	0.1045900	0.3199990
10.6128000	0.1061280	0.3254000
10.9196000	0.1091960	0.3308020
11.1706000	0.1117060	0.3358900
11.4012000	0.1140120	0.3410120
11.5845000	0.1158450	0.3458830
11.9306000	0.1193060	0.3509000
12.2035000	0.1220350	0.3557130
12.3323000	0.1233230	0.3607920
12.6765000	0.1267650	0.3653780
12.9562000	0.1295620	0.3701350
13.2121000	0.1321210	0.3750810
13.5336000	0.1353360	0.3795720
13.8476000	0.1384760	0.3846560
14.0884000	0.1408840	0.3887910
14.3895000	0.1438950	0.3938180
14.5769000	0.1457690	0.3972610
14.7583000	0.1475830	0.4019610
15.1219000	0.1512190	0.4066600
15.4253000	0.1542530	0.4110280
15.6781000	0.1567810	0.4152200
15.9868000	0.1598680	0.4196640
16.2767000	0.1627670	0.4240510
16.5661000	0.1656610	0.4284520
16.8167000	0.1681670	0.4327580
17.0966000	0.1709660	0.4367550
17.3261000	0.1732610	0.4411800
17.6458000	0.1764580	0.4449070
17.9021000	0.1790210	0.4488530
18.1726000	0.1817260	0.4535010
18.4097000	0.1840970	0.4576220
18.6707000	0.1867070	0.4616530
18.9966000	0.1899660	0.4658310
19.1644000	0.1916440	0.4694680
19.4348000	0.1943480	0.4740400
19.7075000	0.1970750	0.4779760
19.8899000	0.1988990	0.4816800
20.1789000	0.2017890	0.4855020
20.4485000	0.2044850	0.4896800
20.5890000	0.2058900	0.4938150
20.8210000	0.2082100	0.4974810
21.1627000	0.2116270	0.5013320
21.3353000	0.2133530	0.5057040
21.7020000	0.2170200	0.5100720
21.8929000	0.2189290	0.5135770
22.1349000	0.2213490	0.5178540
22.4323000	0.2243230	0.5215820
22.7071000	0.2270710	0.5253660
23.0519000	0.2305190	0.5293020
23.2815000	0.2328150	0.5329920
23.5352000	0.2353520	0.5366530
23.7972000	0.2379720	0.5407170
24.0444000	0.2404440	0.5443690
24.4088000	0.2440880	0.5484380
24.6676000	0.2466760	0.5518280
24.9094000	0.2490940	0.5558780
25.1602000	0.2516020	0.5599380
25.4501000	0.2545010	0.5637220
25.6476000	0.2564760	0.5673790
25.9489000	0.2594890	0.5719450
26.1711000	0.2617110	0.5752410
26.3959000	0.2639590	0.5790070
26.7481000	0.2674810	0.5829620
27.0316000	0.2703160	0.5872490
27.2706000	0.2727060	0.5904780
27.5329000	0.2753290	0.5948370
27.7937000	0.2779370	0.5984360
28.0594000	0.2805940	0.6027990
28.3560000	0.2835600	0.6064270
28.7107000	0.2871070	0.6106480
28.9470000	0.2894700	0.6146120
29.2426000	0.2924260	0.6189470
29.4997000	0.2949970	0.6230490
29.7463000	0.2974630	0.6269470
29.9347000	0.2993470	0.6304230
30.1582000	0.3015820	0.6346770
30.3419000	0.3034190	0.6387890
30.6030000	0.3060300	0.6433700
30.9515000	0.3095150	0.6477280
31.2260000	0.3122600	0.6517540
31.5079000	0.3150790	0.6559890
31.7567000	0.3175670	0.6598830
32.0629000	0.3206290	0.6643590
32.2740000	0.3227400	0.6695100
32.4179000	0.3241790	0.6737160
32.6941000	0.3269410	0.6776850
32.9363000	0.3293630	0.6825650
33.2358000	0.3323580	0.6869610
33.4752000	0.3347520	0.6911020
33.6951000	0.3369510	0.6961760
33.8965000	0.3389650	0.7009280
34.1972000	0.3419720	0.7059640
34.4770000	0.3447700	0.7106730
34.7376000	0.3473760	0.7152120
35.0001000	0.3500010	0.7202240
35.2969000	0.3529690	0.7255930
35.5569000	0.3555690	0.7302730
35.7178000	0.3571780	0.7357370
36.0436000	0.3604360	0.7409250
36.2474000	0.3624740	0.7462980
36.4819000	0.3648190	0.7515100
36.7585000	0.3675850	0.7571100
36.9925000	0.3699250	0.7628910
37.3157000	0.3731570	0.7683880
37.5011000	0.3750110	0.7744860
37.7257000	0.3772570	0.7806180
37.9473000	0.3794730	0.7868120
38.1914000	0.3819140	0.7930380
38.5516000	0.3855160	0.7995070
38.7319000	0.3873190	0.8061510
39.0094000	0.3900940	0.8120880
39.1470000	0.3914700	0.8191160
39.4416000	0.3944160	0.8260120
39.6243000	0.3962430	0.8332440
39.8567000	0.3985670	0.8402580
40.1051000	0.4010510	0.8475990
40.3878000	0.4038780	0.8547980
40.5374000	0.4053740	0.8628880
40.7872000	0.4078720	0.8708840
41.0505000	0.4105050	0.8794300
41.3261000	0.4132610	0.8874010
41.4491000	0.4144910	0.8960090
41.8175000	0.4181750	0.9042420
42.0462000	0.4204620	0.9132520
42.1719000	0.4217190	0.9220680
42.3870000	0.4238700	0.9303910
