Time	Eng. Strain	Eng. Stress
(secs)		(Mpa)
		
0.0000000	0.0000000	0.0000000
0.0000072	0.0000720	0.0019190
0.0000232	0.0002320	0.0068300
0.0000471	0.0004710	0.0188050
0.0000871	0.0008710	0.0357990
0.0001389	0.0013890	0.0510720
0.0001998	0.0019980	0.0653260
0.0002648	0.0026480	0.0795930
0.0003373	0.0033730	0.0940660
0.0004172	0.0041720	0.1103420
0.0005071	0.0050710	0.1273410
0.0006041	0.0060410	0.1424130
0.0007048	0.0070480	0.1584420
0.0008158	0.0081580	0.1739070
0.0009307	0.0093070	0.1892440
0.0010521	0.0105210	0.2078330
0.0011847	0.0118470	0.2258910
0.0013204	0.0132040	0.2421210
0.0014571	0.0145710	0.2589660
0.0016066	0.0160660	0.2756020
0.0017582	0.0175820	0.2917570
0.0019078	0.0190780	0.3094800
0.0020658	0.0206580	0.3253470
0.0022219	0.0222190	0.3411660
0.0023841	0.0238410	0.3573370
0.0025474	0.0254740	0.3713460
0.0027138	0.0271380	0.3866250
0.0028801	0.0288010	0.4028200
0.0030524	0.0305240	0.4177580
0.0032278	0.0322780	0.4338420
0.0034052	0.0340520	0.4498270
0.0035825	0.0358250	0.4644090
0.0037676	0.0376760	0.4806630
0.0039489	0.0394890	0.4959570
0.0041384	0.0413840	0.5099570
0.0043265	0.0432650	0.5255930
0.0045166	0.0451660	0.5390950
0.0047063	0.0470630	0.5524490
0.0048995	0.0489950	0.5672780
0.0050882	0.0508820	0.5807890
0.0052873	0.0528730	0.5953170
0.0054814	0.0548140	0.6100920
0.0056819	0.0568190	0.6226970
0.0058782	0.0587820	0.6363260
0.0060798	0.0607980	0.6500420
0.0062798	0.0627980	0.6621310
0.0064838	0.0648380	0.6750910
0.0066855	0.0668550	0.6880310
0.0068909	0.0689090	0.6999260
0.0070932	0.0709320	0.7123180
0.0072973	0.0729730	0.7238980
0.0074996	0.0749960	0.7351940
0.0077036	0.0770360	0.7468160
0.0079025	0.0790250	0.7578490
0.0081078	0.0810780	0.7683350
0.0083143	0.0831430	0.7794810
0.0085183	0.0851830	0.7902060
0.0087249	0.0872490	0.8006620
0.0089278	0.0892780	0.8116340
0.0091325	0.0913250	0.8215080
0.0093350	0.0933500	0.8315300
0.0095390	0.0953900	0.8409620
0.0097410	0.0974100	0.8505070
0.0099434	0.0994340	0.8599390
0.0101475	0.1014750	0.8693370
0.0103502	0.1035020	0.8784540
0.0105572	0.1055720	0.8881390
0.0107596	0.1075960	0.8970940
0.0109602	0.1096020	0.9053720
0.0111660	0.1116600	0.9143980
0.0113666	0.1136660	0.9227960
0.0115732	0.1157320	0.9314380
0.0117758	0.1177580	0.9401070
0.0119745	0.1197450	0.9485000
0.0121799	0.1217990	0.9565290
0.0123822	0.1238220	0.9647830
0.0125828	0.1258280	0.9726330
0.0127859	0.1278590	0.9807180
0.0129867	0.1298670	0.9887150
0.0131888	0.1318880	0.9962550
0.0133879	0.1338790	1.0042430
0.0135902	0.1359020	1.0118950
0.0137926	0.1379260	1.0194570
0.0139937	0.1399370	1.0274270
0.0141973	0.1419730	1.0349860
0.0143999	0.1439990	1.0422920
0.0146004	0.1460040	1.0494950
0.0148059	0.1480590	1.0566750
0.0150058	0.1500580	1.0637590
0.0152136	0.1521360	1.0713590
0.0154118	0.1541180	1.0783570
0.0156136	0.1561360	1.0853030
0.0158190	0.1581900	1.0930660
0.0160192	0.1601920	1.0998360
0.0162212	0.1622120	1.1069850
0.0164265	0.1642650	1.1140970
0.0166296	0.1662960	1.1206150
0.0168315	0.1683150	1.1274530
0.0170300	0.1703000	1.1342350
0.0172328	0.1723280	1.1409110
0.0174402	0.1744020	1.1477860
0.0176384	0.1763840	1.1546880
0.0178429	0.1784290	1.1611770
0.0180472	0.1804720	1.1674250
0.0182474	0.1824740	1.1743450
0.0184510	0.1845100	1.1806180
0.0186528	0.1865280	1.1874680
0.0188558	0.1885580	1.1936110
0.0190607	0.1906070	1.2000000
0.0192587	0.1925870	1.2063130
0.0194590	0.1945900	1.2126760
0.0196637	0.1966370	1.2190140
0.0198674	0.1986740	1.2254640
0.0200680	0.2006800	1.2311550
0.0202675	0.2026750	1.2370290
0.0204685	0.2046850	1.2435400
0.0206719	0.2067190	1.2496640
0.0208725	0.2087250	1.2559550
0.0210761	0.2107610	1.2622280
0.0212768	0.2127680	1.2686560
0.0214791	0.2147910	1.2748210
0.0216756	0.2167560	1.2806650
0.0218804	0.2188040	1.2870440
0.0220827	0.2208270	1.2930610
0.0222831	0.2228310	1.2993640
0.0224864	0.2248640	1.3055330
0.0226826	0.2268260	1.3114920
0.0228872	0.2288720	1.3177220
0.0230845	0.2308450	1.3237910
0.0232860	0.2328600	1.3303830
0.0234862	0.2348620	1.3366870
0.0236877	0.2368770	1.3429840
0.0238877	0.2388770	1.3494170
0.0240888	0.2408880	1.3555310
0.0242900	0.2429000	1.3620300
0.0244928	0.2449280	1.3681270
0.0246955	0.2469550	1.3749680
0.0248948	0.2489480	1.3810740
0.0250933	0.2509330	1.3874150
0.0252970	0.2529700	1.3937460
0.0254923	0.2549230	1.4005630
0.0256989	0.2569890	1.4067800
0.0258975	0.2589750	1.4136420
0.0260971	0.2609710	1.4203490
0.0262978	0.2629780	1.4269460
0.0264985	0.2649850	1.4336770
0.0267012	0.2670120	1.4406120
0.0269010	0.2690100	1.4477130
0.0271034	0.2710340	1.4541990
0.0273027	0.2730270	1.4615490
0.0275048	0.2750480	1.4682340
0.0277028	0.2770280	1.4752200
0.0279048	0.2790480	1.4823870
0.0281062	0.2810620	1.4896560
0.0283075	0.2830750	1.4973450
0.0285075	0.2850750	1.5047960
0.0287076	0.2870760	1.5119370
0.0289081	0.2890810	1.5198570
0.0291097	0.2910970	1.5275430
0.0293113	0.2931130	1.5353410
0.0295087	0.2950870	1.5433400
0.0297095	0.2970950	1.5511670
0.0299068	0.2990680	1.5578700
0.0300960	0.3009600	1.5638540
