Time,Strain,Stress,Calc Stress,Error
0,0,0,0,0
0.001052,0.001052,0.022418,0.00645924,0.506763
0.002892,0.002892,0.050562,0.0177063,0.422253
0.005151,0.005151,0.076865,0.0314277,0.349437
0.007486,0.007486,0.097314,0.0455114,0.283369
0.009768,0.009768,0.116508,0.0591795,0.24212
0.012099,0.012099,0.134079,0.0730445,0.207219
0.014385,0.014385,0.150051,0.0865484,0.179104
0.016648,0.016648,0.164166,0.0998267,0.153598
0.018726,0.018726,0.177525,0.111942,0.136479
0.020771,0.020771,0.188611,0.123793,0.118101
0.022694,0.022694,0.199394,0.134874,0.104706
0.024563,0.024563,0.209958,0.145584,0.0940059
0.026511,0.026511,0.221414,0.156687,0.0854608
0.02842,0.02842,0.232213,0.167507,0.077645
0.03034,0.03034,0.242992,0.178332,0.0708099
0.032264,0.032264,0.253973,0.18912,0.0652056
0.034218,0.034218,0.264737,0.200018,0.0597639
0.036176,0.036176,0.27484,0.210879,0.0541597
0.038105,0.038105,0.285157,0.221522,0.0498001
0.040062,0.040062,0.296203,0.232262,0.0465997
0.042066,0.042066,0.306333,0.243201,0.042473
0.044051,0.044051,0.316614,0.253978,0.0391369
0.046092,0.046092,0.327014,0.265,0.0359625
0.048123,0.048123,0.337431,0.275908,0.0332433
0.050125,0.050125,0.347116,0.286603,0.0303908
0.052153,0.052153,0.356758,0.29738,0.0277012
0.054188,0.054188,0.366306,0.308137,0.0252168
0.05621,0.05621,0.375517,0.31877,0.0228367
0.058251,0.058251,0.384973,0.329446,0.0208043
0.060272,0.060272,0.39443,0.339962,0.0190695
0.062303,0.062303,0.403489,0.350477,0.017262
0.064324,0.064324,0.41194,0.360886,0.0153601
0.066331,0.066331,0.420143,0.371171,0.0135864
0.068375,0.068375,0.428968,0.381593,0.012197
0.070382,0.070382,0.437753,0.391775,0.0110318
0.072398,0.072398,0.445906,0.401952,0.00971655
0.07439,0.07439,0.453684,0.411959,0.00845845
0.07644,0.07644,0.461897,0.422207,0.00738383
0.078443,0.078443,0.470292,0.432171,0.00657058
0.08046,0.08046,0.477875,0.442156,0.0055869
0.082474,0.082474,0.485583,0.452079,0.00476072
0.08446,0.08446,0.493331,0.461817,0.00408056
0.086501,0.086501,0.500626,0.471778,0.00332042
0.088514,0.088514,0.507885,0.481556,0.00268736
0.090511,0.090511,0.515236,0.491212,0.00217418
0.092489,0.092489,0.52248,0.500731,0.00173275
0.094535,0.094535,0.529754,0.510533,0.00131651
0.09653,0.09653,0.537038,0.520046,0.00100112
0.098548,0.098548,0.543745,0.529625,0.000674325
0.100527,0.100527,0.550599,0.538977,0.00044553
0.102504,0.102504,0.55745,0.548279,0.000270686
0.104531,0.104531,0.564076,0.557773,0.000124868
0.106537,0.106537,0.570685,0.567127,3.8873e-05
0.108525,0.108525,0.577161,0.576357,1.94289e-06
0.110501,0.110501,0.583683,0.585491,9.59325e-06
0.112501,0.112501,0.590306,0.594696,5.53148e-05
0.114506,0.114506,0.596597,0.603885,0.000149234
0.116521,0.116521,0.603072,0.61308,0.000275396
0.118547,0.118547,0.609047,0.622285,0.000472468
0.12053,0.12053,0.614807,0.631257,0.000715934
0.122538,0.122538,0.621183,0.640304,0.000947538
0.124512,0.124512,0.627371,0.649161,0.00120635
0.126534,0.126534,0.63318,0.658196,0.00156089
0.128543,0.128543,0.639664,0.667135,0.00184435
0.130576,0.130576,0.645431,0.676144,0.00226429
0.132518,0.132518,0.650928,0.684714,0.00269406
