Time,Strain,Stress,Calc Stress,Error
0,0,0,0,0
1.8e-07,7e-06,0.000247,4.30497e-05,0.681797
4.05e-06,0.000162,0.002695,0.000996136,0.397374
1.768e-05,0.000707,0.019118,0.00434494,0.597113
4.73e-05,0.001892,0.07586,0.0116135,0.717254
9.79e-05,0.003916,0.15842,0.0239883,0.720085
0.00016458,0.006583,0.214026,0.0402176,0.659491
0.00024445,0.009778,0.275278,0.0595462,0.614166
0.00033658,0.013463,0.350121,0.0816871,0.587812
0.00044488,0.017795,0.413621,0.10751,0.547712
0.00056663,0.022665,0.49573,0.13628,0.525758
0.00070455,0.028182,0.590394,0.168546,0.510539
0.00085578,0.034231,0.6652,0.203532,0.481676
0.00101603,0.040641,0.745417,0.240171,0.459417
0.00118523,0.047409,0.828614,0.278382,0.440948
0.00136303,0.054521,0.898851,0.318023,0.417561
0.001549,0.06196,0.980572,0.35894,0.401891
0.0017398,0.069592,1.05454,0.400354,0.384836
0.00193663,0.077465,1.11297,0.442493,0.362913
0.00213178,0.085271,1.17294,0.483707,0.345289
0.0023263,0.093052,1.22212,0.524241,0.326084
0.0025205,0.10082,1.26631,0.564179,0.307436
0.0027147,0.108588,1.31479,0.603603,0.292586
0.00290488,0.116195,1.35581,0.641726,0.277396
0.00309438,0.123775,1.39133,0.679249,0.261939
0.00328118,0.131247,1.42925,0.715796,0.24918
0.00346433,0.138573,1.45367,0.751215,0.23351
0.00364413,0.145765,1.48137,0.785597,0.220602
0.0038239,0.152956,1.51359,0.819598,0.210229
0.00400428,0.160171,1.54187,0.853344,0.199408
0.00418523,0.167409,1.57403,0.886836,0.190606
0.00436595,0.174638,1.60667,0.919933,0.182694
0.00454863,0.181945,1.6346,0.953038,0.173855
0.00472835,0.189134,1.66384,0.985273,0.166327
0.00490758,0.196303,1.69017,1.0171,0.158587
0.00508123,0.203249,1.71118,1.04763,0.150369
0.00525498,0.210199,1.73574,1.07789,0.143644
0.00542668,0.217067,1.75645,1.10752,0.1365
0.0055951,0.223804,1.77379,1.13631,0.129159
0.00575933,0.230373,1.7931,1.16415,0.123034
0.00591878,0.236751,1.80767,1.19095,0.116396
0.00607193,0.242877,1.81919,1.21649,0.109762
0.00622098,0.248839,1.83367,1.24115,0.104415
0.00636293,0.254517,1.84221,1.26446,0.0983557
0.00650003,0.260001,1.84877,1.28683,0.092388
