RunCounter		X2	X3	X4	X5	c10	c20	c30	g[1]	tau[1]	tau[2]	tau[3]	tau[4]	tau[5]	UN_rate_10_sim_txt	UN_rate_1_simp_sim_txt	UN_rate_1e-1_simp_sim_txt	UN_rate_1e-2_sim_txt	UN_rate_40_sim_txt	 Penalty
	18N	18N	18N	18N	18N	18N	18N	18N	18N	18N	18N	18N	18N	18N	18N	18N	18N	18N	18N	18N
125	0.6395056510546475	0.30849613703691914	0.7621374861060876	0.5326954130124937	2.955848944250787	-2.931563756519938	4.7987147298298165	0.4090856433595703	4.1147955278488923E-4	0.006216859836642379	0.025303879017824417	0.5077128583380575	8.167105099141187	0.0730921	0.0600786	0.0860703	0.0254742	0.0977437	0
128	0.5241364168769297	0.08610496720859429	0.5882960897959798	0.45099917539012696	4.939772943925784	-3.712426908662377	4.8270883804347475	0.575942212057996	4.5096186771455374E-4	0.00837986507703876	0.0	0.5198557225674738	1.1716514157843372	0.0574662	0.188661	0.248632	0.135423	0.025084	0
130	0.5254048926137109	0.0	0.44996240788867187	0.41113254405043376	4.80955437840374	-3.448711749598341	3.9917318211585586	0.604475620891449	5.240276835825382E-4	0.00918476154182671	0.04082392030923115	0.565968916463237	0.0	0.0678722	0.254712	0.288337	0.137195	0.0239932	0
131	0.5022665528126758	0.21735639297748377	0.6808487627858999	0.45099656110666114	3.099329939683473	-3.294250102323497	4.855280179500308	0.43326817708487775	4.004933975695668E-4	0.0062099749169744235	0.02748291223792465	0.5597559169152921	8.007140987347881	0.0522904	0.0104444	0.0129406	0.14133	0.0888327	0
132	0.5061557418773682	0.35129492746562285	0.49661906200058303	0.45172363112499114	4.299392762334096	-3.165072597195672	4.372285715569608	0.5483472383749699	4.5593958196391726E-4	0.009083216961135355	0.0417562751037757	0.5784728809170433	7.630735785002074	0.0377828	0.251178	0.552339	0.764415	0.0265183	0
134	0.4909579162014224	0.4551812665782208	0.631912028029793	0.4948544206318305	3.7808272444234756	-3.3198353843311645	5.169909744049976	0.4880305547994269	3.6436267607382325E-4	0.00796593659250613	0.011468637792830512	0.560765876108857	9.671728593049622	0.0518391	0.11422	0.222542	0.241718	0.0478938	0
136	0.4903619709041998	0.0	0.6911070197629653	0.5774727265872296	3.332360248343058	-3.2701767247173414	6.082062053995672	0.4659146736162445	4.1557578390363456E-4	0.0059732990481464274	0.0	0.3985485412825167	2.5770261661040883	0.0384679	0.0126421	0.0735899	0.761747	0.0705482	0
141	0.6036396154512038	0.0012500231247108695	0.6797061929415873	0.41303349152014934	3.167561833680815	-3.622491031256918	4.535098617100759	0.5032146616322803	4.238322984931128E-4	0.0066296321460532475	0.042208785516051554	0.6075509445480382	9.441269061756133	0.161688	0.149756	0.105004	0.011903	0.135377	0
143	0.46722660199263	0.018181730183638098	0.7571345881797997	0.3749487892759475	3.7570349519771136	-3.518087265560272	4.399946360745412	0.4793159650384626	4.3498210727925665E-4	0.005971198974734926	0.025008957356062712	0.5143418736712696	10.0	0.0199496	0.0158339	0.0986077	0.642528	0.0415985	0
146	0.5020081267692594	0.5441631984745113	0.5605347542950343	0.45253393113526313	3.4027773753254067	-3.5784820936518837	5.947376937074135	0.4579873303142449	3.934591169598788E-4	0.01	0.012732433686886641	0.6774715331327218	0.0	0.0845664	0.174804	0.291967	0.229781	0.0837776	0
147	0.31792539130314823	0.27359699397367815	0.6632714880438677	0.5304327148981619	3.9584179342022447	-3.4783913155799553	5.3466151118500225	0.5074318779199551	4.009508110254191E-4	0.0058148642286777776	0.008173105649502101	0.472276033230443	0.8456965668664362	0.0134219	0.0240505	0.064248	0.489088	0.0352892	0
149	0.30712257250181685	0.2724310405504315	0.6187185663407206	0.5231569208513515	2.5658205225872353	-3.2203770413925774	5.637911186236357	0.5022711784830006	3.8245171706536793E-4	0.0059898083373453245	0.027295577659007864	0.5154861233856074	4.850609228622486	0.158395	0.0696281	0.0416665	0.0570179	0.208033	0
153	0.6657268701862229	0.1463849246588188	0.7224416010200378	0.3495018431595474	2.6910080963538103	-3.2974018769888005	4.699942721455118	0.41524366923964195	3.9459964554207274E-4	0.006471635503778442	0.04542874114051759	0.6139639441322082	2.2217262495399037	0.129175	0.0834148	0.0698347	0.00951994	0.154194	0
155	0.5493137805385703	0.16324736521639013	0.744264583208593	0.4130335478048448	3.778054608376198	-3.50103258101779	4.810737812395722	0.40045912378592724	4.125545630312303E-4	0.0061060247554121485	0.024834446734976725	0.5831518710871794	0.0	0.0144079	0.0706435	0.181331	0.929274	0.0285574	0
