Time,Strain,Stress,Calc Stress,Error
0,0,0,0,0
7.2e-06,7.2e-05,0.001919,0.000442766,0.59178
2.32e-05,0.000232,0.00683,0.00142645,0.625917
4.71e-05,0.000471,0.018805,0.00289521,0.715784
8.71e-05,0.000871,0.035799,0.00535173,0.723361
0.0001389,0.001389,0.051072,0.00852985,0.693862
0.0001998,0.001998,0.065326,0.0122619,0.659827
0.0002648,0.002648,0.079593,0.0162398,0.633559
0.0003373,0.003373,0.094066,0.0206704,0.6088
0.0004172,0.004172,0.110342,0.0255454,0.590575
0.0005071,0.005071,0.127341,0.0310208,0.572134
0.0006041,0.006041,0.142413,0.0369171,0.548747
0.0007048,0.007048,0.158442,0.0430257,0.530632
0.0008158,0.008158,0.173907,0.0497442,0.50974
0.0009307,0.009307,0.189244,0.0566825,0.490671
0.0010521,0.010521,0.207833,0.0639954,0.478978
0.0011847,0.011847,0.225891,0.0719619,0.464348
0.0013204,0.013204,0.242121,0.0800921,0.447837
0.0014571,0.014571,0.258966,0.0882593,0.434526
0.0016066,0.016066,0.275602,0.097165,0.419184
0.0017582,0.017582,0.291757,0.106168,0.404634
0.0019078,0.019078,0.30948,0.115025,0.394797
0.0020658,0.020658,0.325347,0.12435,0.381669
0.0022219,0.022219,0.341166,0.133533,0.370391
0.0023841,0.023841,0.357337,0.143045,0.359631
0.0025474,0.025474,0.371346,0.152589,0.347029
0.0027138,0.027138,0.386625,0.162283,0.336699
0.0028801,0.028801,0.40282,0.171938,0.328517
0.0030524,0.030524,0.417758,0.181908,0.31873
0.0032278,0.032278,0.433842,0.192022,0.310686
0.0034052,0.034052,0.449827,0.202216,0.303005
0.0035825,0.035825,0.464409,0.212368,0.294539
0.0037676,0.037676,0.480663,0.222928,0.287517
0.0039489,0.039489,0.495957,0.233235,0.280611
0.0041384,0.041384,0.509957,0.243969,0.272056
0.0043265,0.043265,0.525593,0.254584,0.26587
0.0045166,0.045166,0.539095,0.265272,0.257993
0.0047063,0.047063,0.552449,0.275899,0.25059
0.0048995,0.048995,0.567278,0.286682,0.244665
0.0050882,0.050882,0.580789,0.297174,0.238463
0.0052873,0.052873,0.595317,0.308204,0.232599
0.0054814,0.054814,0.610092,0.318917,0.227782
0.0056819,0.056819,0.622697,0.329941,0.221034
0.0058782,0.058782,0.636326,0.340693,0.215847
0.0060798,0.060798,0.650042,0.351694,0.210651
0.0062798,0.062798,0.662131,0.362567,0.204688
0.0064838,0.064838,0.675091,0.373614,0.199426
0.0066855,0.066855,0.688031,0.384496,0.194626
0.0068909,0.068909,0.699926,0.395536,0.189129
0.0070932,0.070932,0.712318,0.406367,0.184483
0.0072973,0.072973,0.723898,0.417254,0.179438
0.0074996,0.074996,0.735194,0.428004,0.174586
0.0077036,0.077036,0.746816,0.438805,0.170101
0.0079025,0.079025,0.757849,0.449296,0.165766
0.0081078,0.081078,0.768335,0.460085,0.160955
0.0083143,0.083143,0.779481,0.470897,0.156725
0.0085183,0.085183,0.790206,0.481537,0.152582
0.0087249,0.087249,0.800662,0.492274,0.148353
0.0089278,0.089278,0.811634,0.50278,0.144806
0.0091325,0.091325,0.821508,0.51334,0.140719
0.009335,0.09335,0.83153,0.523748,0.137003
0.009539,0.09539,0.840962,0.534196,0.133064
0.009741,0.09741,0.850507,0.544504,0.129448
0.0099434,0.099434,0.859939,0.554796,0.125913
0.0101475,0.101475,0.869337,0.565137,0.122445
0.0103502,0.103502,0.878454,0.575371,0.119038
0.0105572,0.105572,0.888139,0.585784,0.115897
0.0107596,0.107596,0.897094,0.59593,0.112702
0.0109602,0.109602,0.905372,0.60595,0.109374
0.011166,0.11166,0.914398,0.616194,0.106355
0.0113666,0.113666,0.922796,0.626144,0.103343
0.0115732,0.115732,0.931438,0.636357,0.100364
0.0117758,0.117758,0.940107,0.646336,0.097648
0.0119745,0.119745,0.9485,0.65609,0.0950407
0.0121799,0.121799,0.956529,0.666138,0.0921656
0.0123822,0.123822,0.964783,0.676001,0.0895944
0.0125828,0.125828,0.972633,0.685748,0.0869999
0.0127859,0.127859,0.980718,0.695582,0.0845308
0.0129867,0.129867,0.988715,0.705273,0.0821839
0.0131888,0.131888,0.996255,0.714993,0.079704
0.0133879,0.133879,1.00424,0.724538,0.0775753
0.0135902,0.135902,1.01189,0.734203,0.0753103
0.0137926,0.137926,1.01946,0.743842,0.0730919
0.0139937,0.139937,1.02743,0.753386,0.0711423
0.0141973,0.141973,1.03499,0.763018,0.0690507
0.0143999,0.143999,1.04229,0.77257,0.0669659
0.0146004,0.146004,1.0495,0.781992,0.0649674
0.0148059,0.148059,1.05668,0.791618,0.062921
0.0150058,0.150058,1.06376,0.800951,0.0610367
0.0152136,0.152136,1.07136,0.810621,0.0592296
0.0154118,0.154118,1.07836,0.819814,0.057483
0.0156136,0.156136,1.0853,0.829145,0.0557077
0.015819,0.15819,1.09307,0.838611,0.0541913
0.0160192,0.160192,1.09984,0.847808,0.05251
0.0162212,0.162212,1.10699,0.857058,0.0509733
0.0164265,0.164265,1.1141,0.866429,0.0494188
0.0166296,0.166296,1.12061,0.875671,0.0477773
0.0168315,0.168315,1.12745,0.884828,0.0463098
0.01703,0.1703,1.13424,0.893804,0.044934
0.0172328,0.172328,1.14091,0.902945,0.0435036
0.0174402,0.174402,1.14779,0.912265,0.0421055
0.0176384,0.176384,1.15469,0.921143,0.0409084
0.0178429,0.178429,1.16118,0.930275,0.039542
0.0180472,0.180472,1.16742,0.93937,0.0381613
0.0182474,0.182474,1.17434,0.948254,0.0370658
0.018451,0.18451,1.18062,0.957263,0.035791
0.0186528,0.186528,1.18747,0.966164,0.0347325
0.0188558,0.188558,1.19361,0.975091,0.0335165
0.0190607,0.190607,1.2,0.984074,0.0323779
0.0192587,0.192587,1.20631,0.992728,0.0313489
0.019459,0.19459,1.21268,1.00146,0.0303373
0.0196637,0.196637,1.21901,1.01035,0.0293004
0.0198674,0.198674,1.22546,1.01917,0.0283369
0.020068,0.20068,1.23115,1.02784,0.0272722
0.0202675,0.202675,1.23703,1.03643,0.0262967
0.0204685,0.204685,1.24354,1.04506,0.0254751
0.0206719,0.206719,1.24966,1.05377,0.0245735
0.0208725,0.208725,1.25595,1.06233,0.023767
0.0210761,0.210761,1.26223,1.071,0.0229535
0.0212768,0.212768,1.26866,1.07951,0.0222278
0.0214791,0.214791,1.27482,1.08807,0.0214593
0.0216756,0.216756,1.28066,1.09636,0.0207103
0.0218804,0.218804,1.28704,1.10498,0.0200107
0.0220827,0.220827,1.29306,1.11347,0.0192906
0.0222831,0.222831,1.29936,1.12185,0.0186639
0.0224864,0.224864,1.30553,1.13033,0.0180097
0.0226826,0.226826,1.31149,1.13849,0.0174005
0.0228872,0.228872,1.31772,1.14698,0.0167896
0.0230845,0.230845,1.32379,1.15514,0.0162309
0.023286,0.23286,1.33038,1.16345,0.0157443
0.0234862,0.234862,1.33669,1.17169,0.0152374
0.0236877,0.236877,1.34298,1.17995,0.0147368
0.0238877,0.238877,1.34942,1.18813,0.0142852
0.0240888,0.240888,1.35553,1.19634,0.0137921
0.02429,0.2429,1.36203,1.20452,0.0133729
0.0244928,0.244928,1.36813,1.21275,0.0128977
0.0246955,0.246955,1.37497,1.22095,0.012547
0.0248948,0.248948,1.38107,1.22899,0.0121257
0.0250933,0.250933,1.38742,1.23698,0.0117562
0.025297,0.25297,1.39375,1.24516,0.0113657
0.0254923,0.254923,1.40056,1.25298,0.0111043
0.0256989,0.256989,1.40678,1.26122,0.0107055
0.0258975,0.258975,1.41364,1.26913,0.0104502
0.0260971,0.260971,1.42035,1.27706,0.0101778
0.0262978,0.262978,1.42695,1.28501,0.00989455
0.0264985,0.264985,1.43368,1.29293,0.00963726
0.0267012,0.267012,1.44061,1.30092,0.00940271
0.026901,0.26901,1.44771,1.30877,0.00921101
0.0271034,0.271034,1.4542,1.3167,0.00893996
0.0273027,0.273027,1.46155,1.32449,0.00879365
0.0275048,0.275048,1.46823,1.33237,0.00856252
0.0277028,0.277028,1.47522,1.34007,0.00839271
0.0279048,0.279048,1.48239,1.34791,0.00822974
0.0281062,0.281062,1.48966,1.3557,0.00808634
0.0283075,0.283075,1.49734,1.36347,0.00799404
0.0285075,0.285075,1.5048,1.37117,0.00788582
0.0287076,0.287076,1.51194,1.37885,0.00774827
0.0289081,0.289081,1.51986,1.38653,0.00769553
0.0291097,0.291097,1.52754,1.39423,0.00761649
0.0293113,0.293113,1.53534,1.40191,0.0075524
0.0295087,0.295087,1.54334,1.40942,0.00752992
0.0297095,0.297095,1.55117,1.41703,0.00747784
0.0299068,0.299068,1.55787,1.42449,0.00732986
0.030096,0.30096,1.56385,1.43163,0.00714837
