Time,Strain,Stress,Calc Stress,Error
0,0,0,0,0
0.01875,0.001875,0.030738,0.0113963,0.395948
0.04242,0.004242,0.053143,0.0254366,0.271812
0.06092,0.006092,0.065591,0.0361788,0.201079
0.08107,0.008107,0.080074,0.0476797,0.163665
0.10127,0.010127,0.092936,0.0590261,0.133133
0.12228,0.012228,0.105776,0.0706564,0.110236
0.1416,0.01416,0.116035,0.0812144,0.0900524
0.16204,0.016204,0.127563,0.0922565,0.0766056
0.18212,0.018212,0.13808,0.102988,0.0645881
0.20234,0.020234,0.148592,0.113688,0.0551757
0.22238,0.022238,0.158756,0.124197,0.0473874
0.24222,0.024222,0.168115,0.134513,0.0399512
0.2621,0.02621,0.17793,0.144767,0.0347389
0.28271,0.028271,0.187563,0.155316,0.0295593
0.30183,0.030183,0.196392,0.165031,0.0254991
0.3222,0.03222,0.206132,0.175311,0.0223567
0.3427,0.03427,0.214674,0.185585,0.0183613
0.36242,0.036242,0.223556,0.195403,0.015859
0.38235,0.038235,0.232552,0.205263,0.0137696
0.40261,0.040261,0.240847,0.215225,0.0113175
0.42241,0.042241,0.248973,0.224901,0.00934809
0.4432,0.04432,0.25868,0.235,0.00838015
0.46256,0.046256,0.265996,0.244349,0.00662312
0.48298,0.048298,0.27479,0.254153,0.00564013
0.50283,0.050283,0.281705,0.263629,0.00411711
0.52294,0.052294,0.289805,0.273176,0.00329231
0.54296,0.054296,0.297672,0.282628,0.00255423
0.56309,0.056309,0.305115,0.292079,0.00182539
0.58308,0.058308,0.312156,0.301414,0.00118428
0.60352,0.060352,0.320326,0.310907,0.000864677
0.62336,0.062336,0.326773,0.320072,0.000420549
0.64296,0.064296,0.333692,0.329079,0.000191108
0.66296,0.066296,0.340455,0.338223,4.29988e-05
0.68392,0.068392,0.348479,0.347754,4.32673e-06
0.70346,0.070346,0.35503,0.356594,1.94006e-05
0.72336,0.072336,0.361422,0.365551,0.000130515
0.74376,0.074376,0.368127,0.374686,0.000317498
0.76414,0.076414,0.375588,0.383766,0.000474126
0.78336,0.078336,0.381165,0.392287,0.000851391
0.80407,0.080407,0.387735,0.401423,0.0012462
0.82376,0.082376,0.393764,0.410065,0.00171386
0.84343,0.084343,0.40004,0.418658,0.00216594
0.8637,0.08637,0.406264,0.427469,0.0027244
0.8845,0.08845,0.412674,0.436466,0.00332403
0.9045,0.09045,0.418555,0.445075,0.0040147
0.92384,0.092384,0.424389,0.453361,0.00466052
0.94438,0.094438,0.430823,0.46212,0.00527714
0.9641,0.09641,0.436183,0.470489,0.00618581
0.98382,0.098382,0.441735,0.478819,0.00704787
1.00404,0.100404,0.447246,0.487322,0.00802912
1.0237,0.10237,0.45244,0.49555,0.00907912
1.04434,0.104434,0.459144,0.50415,0.00960808
1.06443,0.106443,0.463864,0.512481,0.0109849
1.08419,0.108419,0.468794,0.520639,0.0122304
1.10409,0.110409,0.47493,0.528817,0.012874
1.1243,0.11243,0.479653,0.537086,0.0143375
1.14404,0.114404,0.484766,0.545127,0.0155043
1.16402,0.116402,0.489942,0.55323,0.0166862
1.18392,0.118392,0.495322,0.561266,0.0177244
1.20434,0.120434,0.500575,0.569475,0.0189453
1.22466,0.122466,0.505869,0.577608,0.0201111
1.2441,0.12441,0.509936,0.585356,0.0218745
1.26422,0.126422,0.515474,0.59334,0.0228185
1.28385,0.128385,0.51977,0.601098,0.0244825
1.30405,0.130405,0.524871,0.609047,0.02572
1.32443,0.132443,0.52959,0.617033,0.0272627
1.34301,0.134301,0.533793,0.624284,0.0287384
1.36456,0.136456,0.539735,0.632659,0.029641
1.38505,0.138505,0.544369,0.640587,0.0312414
1.40437,0.140437,0.54764,0.648033,0.0336059
1.42457,0.142457,0.55178,0.655786,0.0355293
1.44477,0.144477,0.557657,0.663508,0.0360292
1.46484,0.146484,0.561307,0.671149,0.0382943
1.48505,0.148505,0.56601,0.678812,0.0397179
1.50505,0.150505,0.57083,0.686365,0.0409654
1.5253,0.15253,0.575251,0.693983,0.042601
1.54562,0.154562,0.579348,0.701596,0.0445252
1.56498,0.156498,0.582609,0.708822,0.0469301
1.5855,0.15855,0.587932,0.716451,0.0477835
1.60544,0.160544,0.591772,0.723835,0.0498027
1.62482,0.162482,0.595623,0.730985,0.0516476
1.645,0.1645,0.599752,0.738402,0.0534436
1.66483,0.166483,0.603839,0.745663,0.0551639
