Time,Strain,Stress,Calc Stress,Error
0,0,0,0,0
0.1906,0.001906,0.019609,0.0109352,0.195664
0.4479,0.004479,0.03552,0.0246855,0.0930404
0.8081,0.008081,0.049884,0.0432102,0.0178987
1.0703,0.010703,0.062281,0.0563228,0.00915219
1.3152,0.013152,0.074431,0.0683392,0.00669867
1.6597,0.016597,0.085547,0.0849228,5.32442e-05
1.9068,0.019068,0.095899,0.0966174,5.61123e-05
2.1462,0.021462,0.106062,0.107808,0.000271033
2.4438,0.024438,0.115869,0.121547,0.00240159
2.5564,0.025564,0.125174,0.126699,0.000148422
2.8628,0.028628,0.134089,0.1406,0.00235811
3.1631,0.031631,0.142901,0.154067,0.00610538
3.4135,0.034135,0.151541,0.165184,0.008105
3.6619,0.036619,0.159689,0.176118,0.010584
3.9158,0.039158,0.16757,0.1872,0.0137231
4.2114,0.042114,0.175485,0.199989,0.0194984
4.4992,0.044992,0.18323,0.212327,0.025218
4.9082,0.049082,0.190694,0.229677,0.0417906
5.0817,0.050817,0.197997,0.236972,0.0387492
5.4708,0.054708,0.205234,0.253202,0.0546269
5.7244,0.057244,0.212333,0.263682,0.0584829
5.9252,0.059252,0.219048,0.271927,0.0582757
6.2136,0.062136,0.226067,0.283689,0.0649684
6.4111,0.064111,0.231692,0.291689,0.067057
6.7068,0.067068,0.238871,0.303588,0.0734029
6.9123,0.069123,0.245231,0.311801,0.0736899
7.1155,0.071155,0.251244,0.319878,0.0746254
7.4691,0.074691,0.257471,0.33383,0.0879564
7.7166,0.077166,0.26375,0.343519,0.0914701
7.9687,0.079687,0.269958,0.353323,0.095363
8.3197,0.083197,0.276018,0.36687,0.108341
8.6232,0.086232,0.281851,0.378485,0.11755
8.9593,0.089593,0.287025,0.391246,0.131846
9.1161,0.091161,0.293062,0.397162,0.126177
9.3266,0.093266,0.298691,0.405068,0.12684
9.5811,0.095811,0.304501,0.414574,0.130672
9.8887,0.098887,0.309238,0.425984,0.142527
10.1753,0.101753,0.314991,0.436539,0.148901
10.459,0.10459,0.319999,0.446916,0.157305
10.6128,0.106128,0.3254,0.452512,0.152595
10.9196,0.109196,0.330802,0.463616,0.161196
11.1706,0.111706,0.33589,0.472642,0.165757
11.4012,0.114012,0.341012,0.480887,0.168246
11.5845,0.115845,0.345883,0.487411,0.167427
11.9306,0.119306,0.3509,0.499654,0.17971
12.2035,0.122035,0.355713,0.509241,0.186283
12.3323,0.123323,0.360792,0.513745,0.179721
12.6765,0.126765,0.365378,0.525719,0.192577
12.9562,0.129562,0.370135,0.535382,0.199318
13.2121,0.132121,0.375081,0.544171,0.20323
13.5336,0.135336,0.379572,0.555145,0.213958
13.8476,0.138476,0.384656,0.56579,0.221746
14.0884,0.140884,0.388791,0.573905,0.226698
14.3895,0.143895,0.393818,0.583995,0.233199
14.5769,0.145769,0.397261,0.590243,0.235983
14.7583,0.147583,0.401961,0.596267,0.233672
15.1219,0.151219,0.40666,0.608276,0.245803
15.4253,0.154253,0.411028,0.618228,0.254118
15.6781,0.156781,0.41522,0.626473,0.258851
15.9868,0.159868,0.419664,0.636486,0.266933
16.2767,0.162767,0.424051,0.645832,0.273536
16.5661,0.165661,0.428452,0.65511,0.279858
16.8167,0.168167,0.432758,0.663101,0.283309
17.0966,0.170966,0.436755,0.671981,0.290065
17.3261,0.173261,0.44118,0.679226,0.291132
17.6458,0.176458,0.444907,0.689266,0.301661
17.9021,0.179021,0.448853,0.697271,0.306309
