Time	Eng. Strain	Eng. Stress
(secs)		(Mpa)
		
0.00000000	0.00000000	0.00000000
0.00000018	0.00000700	0.00024700
0.00000405	0.00016200	0.00269500
0.00001768	0.00070700	0.01911800
0.00004730	0.00189200	0.07586000
0.00009790	0.00391600	0.15842000
0.00016458	0.00658300	0.21402600
0.00024445	0.00977800	0.27527800
0.00033658	0.01346300	0.35012100
0.00044488	0.01779500	0.41362100
0.00056663	0.02266500	0.49573000
0.00070455	0.02818200	0.59039400
0.00085578	0.03423100	0.66520000
0.00101603	0.04064100	0.74541700
0.00118523	0.04740900	0.82861400
0.00136303	0.05452100	0.89885100
0.00154900	0.06196000	0.98057200
0.00173980	0.06959200	1.05453900
0.00193663	0.07746500	1.11297300
0.00213178	0.08527100	1.17294200
0.00232630	0.09305200	1.22211500
0.00252050	0.10082000	1.26630700
0.00271470	0.10858800	1.31478900
0.00290488	0.11619500	1.35580800
0.00309438	0.12377500	1.39133300
0.00328118	0.13124700	1.42924700
0.00346433	0.13857300	1.45366900
0.00364413	0.14576500	1.48137200
0.00382390	0.15295600	1.51359000
0.00400428	0.16017100	1.54186600
0.00418523	0.16740900	1.57403400
0.00436595	0.17463800	1.60666700
0.00454863	0.18194500	1.63459800
0.00472835	0.18913400	1.66384100
0.00490758	0.19630300	1.69017400
0.00508123	0.20324900	1.71118000
0.00525498	0.21019900	1.73574400
0.00542668	0.21706700	1.75645300
0.00559510	0.22380400	1.77379100
0.00575933	0.23037300	1.79310100
0.00591878	0.23675100	1.80766900
0.00607193	0.24287700	1.81918800
0.00622098	0.24883900	1.83366600
0.00636293	0.25451700	1.84221300
0.00650003	0.26000100	1.84876800
